[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1336396175.953000 5/7/2012, 6:39:35 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, CeMg3
INFO, WEIGHT, 8.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, bar
INFO, COMMENT, H || [100]
INFO, SEQUENCE FILE: CeSi_MT.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1336404459.765,,1.000000e+003,1.002011e+002,2.517460e-004,0.000000e+000,3,9.781721e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.000214e-002,1.500000e+001,0,,0,
1336404642.906,,1.000000e+003,1.052084e+002,2.445740e-004,0.000000e+000,3,9.778728e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.370117e-002,1.500000e+001,0,,0,
1336404826.546,,1.000000e+003,1.102115e+002,2.378356e-004,0.000000e+000,3,9.777219e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.379608e-002,1.500000e+001,0,,0,
1336405026.078,,1.000000e+003,1.151859e+002,2.321098e-004,0.000000e+000,3,9.761199e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.489899e-002,1.500000e+001,0,,0,
1336405207.750,,1.000000e+003,1.202480e+002,2.273952e-004,0.000000e+000,3,9.785684e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.789520e-002,1.500000e+001,0,,0,
1336405387.687,,1.000000e+003,1.252604e+002,2.210148e-004,0.000000e+000,3,9.779738e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.800415e-002,1.500000e+001,0,,0,
1336405566.531,,1.000000e+003,1.302776e+002,2.154737e-004,0.000000e+000,3,9.782979e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.139160e-002,1.500000e+001,0,,0,
1336405744.296,,1.000000e+003,1.352942e+002,2.099412e-004,0.000000e+000,3,9.789458e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.799438e-002,1.500000e+001,0,,0,
1336405919.984,,1.000000e+003,1.403142e+002,2.052584e-004,0.000000e+000,3,9.786794e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.939270e-002,1.500000e+001,0,,0,
1336406096.343,,1.000000e+003,1.453242e+002,1.996269e-004,0.000000e+000,3,9.778880e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.740356e-002,1.500000e+001,0,,0,
1336406270.984,,1.000000e+003,1.503348e+002,1.947676e-004,0.000000e+000,3,9.778979e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.101013e-002,1.500000e+001,0,,0,
1336406445.000,,1.000000e+003,1.553438e+002,1.899192e-004,0.000000e+000,3,9.775733e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.530762e-002,1.500000e+001,0,,0,
1336406617.500,,1.000000e+003,1.603672e+002,1.851691e-004,0.000000e+000,3,9.778125e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.200195e-002,1.500000e+001,0,,0,
1336406789.046,,1.000000e+003,1.653770e+002,1.815688e-004,0.000000e+000,3,9.782605e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.118774e-002,1.500000e+001,0,,0,
1336406961.437,,1.000000e+003,1.703841e+002,1.773121e-004,0.000000e+000,3,9.783309e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.480408e-002,1.500000e+001,0,,0,
1336407131.609,,1.000000e+003,1.753910e+002,1.737790e-004,0.000000e+000,3,9.787316e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.210754e-002,1.500000e+001,0,,0,
1336407301.781,,1.000000e+003,1.804092e+002,1.695844e-004,0.000000e+000,3,9.789478e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.220459e-002,1.500000e+001,0,,0,
1336407471.218,,1.000000e+003,1.854171e+002,1.660640e-004,0.000000e+000,3,9.779156e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.838989e-002,1.500000e+001,0,,0,
1336407640.312,,1.000000e+003,1.904298e+002,1.623598e-004,0.000000e+000,3,9.785474e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.200623e-002,1.500000e+001,0,,0,
1336407808.234,,1.000000e+003,1.954359e+002,1.592745e-004,0.000000e+000,3,9.776724e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.559204e-002,1.500000e+001,0,,0,
1336407976.484,,1.000000e+003,2.004544e+002,1.558988e-004,0.000000e+000,3,9.773051e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.038879e-002,1.500000e+001,0,,0,
